ASV,01A-CR,01B-CR,01C-CR,02A-CR,02B-CR,02C-CR,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C
e7b5cffb295b1c176006ca792dd112cb,0,78,182,18,54,827,663,123,168,13,6,11,50,0,299,0,24,167,142,69,80,981,90,66,40,11,34,0,17,0,17,29,0,209,42,210,88,194,415,0,18,116
0f7da1e509e9582ac203dfe55714772e,40,108,129,196,27,517,418,172,255,32,0,0,143,0,238,122,38,168,141,113,67,1203,182,220,43,22,30,19,0,10,0,0,0,297,44,196,0,70,152,0,0,127
e2269c33421e1aef172fad5a93a4cb8d,1112,0,0,4377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f48d2dd7c495c0ce55a856bf01dbaf38,0,0,0,50,0,0,234,62,0,54,21,0,2418,112,253,90,0,58,369,62,58,0,121,0,241,82,3,53,0,0,39,56,0,48,48,0,91,25,67,633,51,0
0ac89e04b19b29f872ee7cd0cb930d7a,0,0,0,0,0,0,0,301,235,0,22,8,0,292,1752,0,105,177,0,101,817,0,545,21,0,188,57,0,82,47,0,35,0,0,500,0,0,87,0,0,0,0
939452adaf053eb94a57213bf207c413,55,647,64,397,52,522,305,116,219,32,13,13,66,14,129,188,0,52,311,97,62,872,47,137,74,4,38,75,80,0,39,0,13,0,126,103,46,34,57,0,6,245
a21d29f39c550b09715360c33e2f9ca2,0,0,0,0,0,1059,238,0,0,109,0,0,3180,0,0,68,0,0,213,0,0,0,0,0,17,0,0,0,0,0,88,119,0,68,14,0,0,0,0,0,0,0
32dc6b72610815903e17ef64126fdea8,0,0,0,0,0,0,0,148,39,0,52,0,0,488,3729,0,0,12,0,32,130,0,34,0,0,76,0,0,22,0,0,54,0,0,129,0,0,0,0,0,0,0
5d10ea342cd691e8e22b863eca12cd9b,0,120,89,0,28,0,0,864,368,0,29,0,0,120,1528,0,18,102,0,96,87,0,324,9,0,49,21,0,43,13,0,120,15,0,265,357,0,53,103,0,0,0
5cb91f7978818ffebfec6248b2bbb85d,0,171,79,0,194,0,0,269,0,0,64,0,0,189,1254,0,76,198,0,416,84,0,405,0,0,142,0,0,113,67,0,0,0,0,428,235,0,65,278,0,0,0
622040f49f44e56d611e81f33fe84f28,0,35,0,0,0,0,0,1191,34,0,69,0,0,355,2467,0,13,0,0,10,145,0,132,0,0,0,0,0,0,0,0,15,0,0,102,0,0,133,0,0,0,0
55345940793ae79a0f5fe6b8e810712d,0,0,0,0,0,0,0,50,25,0,0,16,13,9,4187,0,35,27,0,0,16,0,83,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5534ccc5f0bf92eaf2a7e947549f9658,0,415,0,0,122,0,0,736,79,0,0,0,0,49,130,0,100,23,0,534,995,0,499,0,0,80,0,0,45,0,0,442,28,0,213,0,0,0,0,0,0,0
cbf449a8de1b6f7996f34453118714dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3899,591
